,Anwoxhner,Besuxcher,tXK}x3Eg,Ld)s@xYEM,VersagerGolxdesel,VollzxeitToleranz,Coxmputer,Diagnxose,aVrx\un?R,Mf(xd_?zb,VorstaxndTablette,StelluxngZwilling,Duftnxote,Ehebruxch,zpPe&xf8*,fUTkNxLDY,GottheitxWeltraum,UmtausxchWeinfass,Eindrxuck,Fachmaxnn,3YxWRx-#-,UCMxV&MH8,ApfelmusHaxndbuch,AuerhuxhnHauswand,Fahrxwerk,Festxland,"gsxy.,fUy",cXyNxffH#,BeispielHufxeisen,BierglaxsFahrplan,Flugxplan,Gasmxaske,[-z8xS*E+,fa.{DxqnA,ChefarxztDreizack,DezernxatWerkbank
2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2,2,2,2,0,2,2,0,0,0,0,0,0,2,2,2,0,2,2
3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,0,2,2,0,0,0,0,2,0,2,2,0,0,2,0
4,0,0,1,0,1,1,0,2,0,2,1,0,0,0,0,0,0,0,2,2,2,0,2,2,0,0,0,0,0,0,2,2,2,2,2,2
5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,0,2,0,0,0,2,2,2,2,2,2,0,0,0,0,0,2,2,2,2,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,2,2,0,3,2,2,2,2,2,3,3,0,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0
9,1,0,1,2,2,3,2,2,2,3,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,2
10,2,2,2,2,2,2,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,3
12,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
